answer,query_text,program_text,filename
circle,What is the shape of the farthest object to the blue object?,filter blue <nxt> relate farthest <nxt> query shape,0.jpg
3,How many objects of the shape as that of the gray are there?,filter gray <nxt> query shape <nxt> filter <nxt> count,0.jpg
3,How many objects of the shape as that of the blue are there?,filter blue <nxt> query shape <nxt> filter <nxt> count,0.jpg
rectangle,What is the shape of the closest object to the yellow object?,filter yellow <nxt> relate closest <nxt> query shape,0.jpg
circle,What is the shape of the farthest object to the blue object?,filter blue <nxt> relate farthest <nxt> query shape,0.jpg
circle,What is the shape of the closest object to the orange object?,filter orange <nxt> relate closest <nxt> query shape,0.jpg
circle,What is the shape of the closest object to the red object?,filter red <nxt> relate closest <nxt> query shape,0.jpg
3,How many objects of the shape as that of the blue are there?,filter blue <nxt> query shape <nxt> filter <nxt> count,0.jpg
rectangle,What is the shape of the closest object to the green object?,filter green <nxt> relate closest <nxt> query shape,0.jpg
circle,What is the shape of the closest object to the red object?,filter red <nxt> relate closest <nxt> query shape,0.jpg
no,Is there a yellow object on the top?,filter yellow <nxt> query position <nxt> isTop,0.jpg
no,Is there a yellow object on the top?,filter yellow <nxt> query position <nxt> isTop,0.jpg
yes,Is there a green object on the left?,filter green <nxt> query positions <nxt> isLeft,0.jpg
no,Is there a orange object on the left?,filter orange <nxt> query positions <nxt> isLeft,0.jpg
circle,What is the shape of the orange of the object?,filter orange <nxt> query shape,0.jpg
no,Is there a orange object on the top?,filter orange <nxt> query position <nxt> isTop,0.jpg
no,Is there a blue object on the top?,filter blue <nxt> query position <nxt> isTop,0.jpg
rectangle,What is the shape of the green of the object?,filter green <nxt> query shape,0.jpg
no,Is there a yellow object on the top?,filter yellow <nxt> query position <nxt> isTop,0.jpg
yes,Is there a red object on the top?,filter red <nxt> query position <nxt> isTop,0.jpg
rectangle,What is the shape of the closest object to the yellow object?,filter yellow <nxt> relate closest <nxt> query shape,1.jpg
6,How many objects of the shape as that of the green are there?,filter green <nxt> query shape <nxt> filter <nxt> count,1.jpg
rectangle,What is the shape of the farthest object to the blue object?,filter blue <nxt> relate farthest <nxt> query shape,1.jpg
rectangle,What is the shape of the farthest object to the yellow object?,filter yellow <nxt> relate farthest <nxt> query shape,1.jpg
rectangle,What is the shape of the farthest object to the red object?,filter red <nxt> relate farthest <nxt> query shape,1.jpg
rectangle,What is the shape of the closest object to the orange object?,filter orange <nxt> relate closest <nxt> query shape,1.jpg
rectangle,What is the shape of the farthest object to the yellow object?,filter yellow <nxt> relate farthest <nxt> query shape,1.jpg
6,How many objects of the shape as that of the yellow are there?,filter yellow <nxt> query shape <nxt> filter <nxt> count,1.jpg
rectangle,What is the shape of the farthest object to the green object?,filter green <nxt> relate farthest <nxt> query shape,1.jpg
6,How many objects of the shape as that of the yellow are there?,filter yellow <nxt> query shape <nxt> filter <nxt> count,1.jpg
yes,Is there a orange object on the left?,filter orange <nxt> query positions <nxt> isLeft,1.jpg
rectangle,What is the shape of the yellow of the object?,filter yellow <nxt> query shape,1.jpg
rectangle,What is the shape of the green of the object?,filter green <nxt> query shape,1.jpg
rectangle,What is the shape of the red of the object?,filter red <nxt> query shape,1.jpg
yes,Is there a yellow object on the left?,filter yellow <nxt> query positions <nxt> isLeft,1.jpg
no,Is there a red object on the top?,filter red <nxt> query position <nxt> isTop,1.jpg
no,Is there a green object on the top?,filter green <nxt> query position <nxt> isTop,1.jpg
no,Is there a blue object on the top?,filter blue <nxt> query position <nxt> isTop,1.jpg
rectangle,What is the shape of the blue of the object?,filter blue <nxt> query shape,1.jpg
no,Is there a blue object on the left?,filter blue <nxt> query positions <nxt> isLeft,1.jpg
rectangle,What is the shape of the farthest object to the orange object?,filter orange <nxt> relate farthest <nxt> query shape,2.jpg
rectangle,What is the shape of the closest object to the red object?,filter red <nxt> relate closest <nxt> query shape,2.jpg
rectangle,What is the shape of the closest object to the green object?,filter green <nxt> relate closest <nxt> query shape,2.jpg
rectangle,What is the shape of the farthest object to the blue object?,filter blue <nxt> relate farthest <nxt> query shape,2.jpg
rectangle,What is the shape of the farthest object to the gray object?,filter gray <nxt> relate farthest <nxt> query shape,2.jpg
rectangle,What is the shape of the closest object to the blue object?,filter blue <nxt> relate closest <nxt> query shape,2.jpg
5,How many objects of the shape as that of the orange are there?,filter orange <nxt> query shape <nxt> filter <nxt> count,2.jpg
